#{"t_start": 1585122449.347662, "env_id": null}
r,l,t
-0.1,1,11.082821
-0.03,1,11.093823
0.385,1,11.105822
-0.27,1,11.117821
0.32,1,11.128822
-0.17,1,11.141819
0.13,1,11.152038
0.21,1,11.162822
0.225,1,11.17482
-0.2,1,11.185819
0.42,1,11.195821
0.315,1,11.208833
0.11,1,11.219831
0.275,1,11.23082
0.065,1,11.242822
0.455,1,11.254855
-0.07,1,11.266846
0.34,1,11.278821
-0.06,1,11.291855
0.37,1,11.303825
0.14,1,11.316908
-0.39,1,11.328819
0.13,1,11.341821
0.03,1,11.353822
0.17,1,11.366854
0.335,1,11.378852
-0.295,1,11.389822
0.145,1,11.402854
-0.005,1,11.413869
-0.045,1,11.427061
0.435,1,11.437794
0.16,1,11.448765
0.185,1,11.460295
-0.18,1,11.47433
0.175,1,11.486284
0.22,1,11.499283
0.375,1,11.51228
0.11,1,11.525283
-0.33,1,11.53828
-0.26,1,11.549282
0.34,1,11.560281
-0.245,1,11.571281
-0.375,1,11.58228
-0.02,1,11.592281
0.305,1,11.603281
-0.135,1,11.614281
-0.265,1,11.624281
0.055,1,11.635402
-0.045,1,11.646281
0.01,1,11.657281
-0.015,1,11.668296
0.225,1,11.680291
-0.345,1,11.691293
0.275,1,11.702294
0.115,1,11.713293
0.135,1,11.724293
-0.04,1,11.734293
0.145,1,11.744293
0.625,1,11.756293
-0.345,1,11.767294
-0.095,1,11.778295
0.5,1,11.791294
0.16,1,11.802294
0.05,1,11.813296
-0.22,1,11.826294
0.135,1,11.837293
0.135,1,11.848293
0.09,1,11.858293
-0.015,1,11.870291
0.015,1,11.880293
-0.01,1,11.893292
0.205,1,11.903309
0.075,1,11.914292
0.305,1,11.925301
0.145,1,11.937292
0.035,1,11.948293
-0.02,1,11.958293
0.085,1,11.970292
0.255,1,11.980293
0.015,1,11.992293
-0.02,1,12.003293
0.47,1,12.014291
0.035,1,12.024294
-0.1,1,12.035391
-0.085,1,12.045293
-0.17,1,12.056293
0.065,1,12.067293
0.19,1,12.078293
0.01,1,12.089293
-0.16,1,12.099296
-0.0,1,12.110293
0.235,1,12.120293
0.055,1,12.131294
0.095,1,12.143294
-0.27,1,12.155293
0.35,1,12.165293
0.255,1,12.176291
0.055,1,12.187294
-0.07,1,12.198294
0.39,1,12.2083
-0.37,1,12.219291
-0.19,1,12.230294
-0.405,1,12.242293
-0.0,1,12.253293
0.22,1,12.263292
0.25,1,12.274294
0.395,1,12.285383
0.29,1,12.708292
-0.485,1,12.721293
-0.085,1,12.732293
0.57,1,12.743293
0.155,1,12.754293
-0.045,1,12.765293
-0.075,1,12.776293
0.44,1,12.788309
0.41,1,12.799841
0.005,1,12.809996
-0.02,1,12.821991
-0.135,1,12.832992
0.54,1,12.846007
0.27,1,12.859005
-0.265,1,12.870993
-0.23,1,12.882992
0.595,1,12.895992
-0.16,1,12.906991
0.295,1,12.919993
0.17,1,12.931993
-0.61,1,12.94499
0.075,1,12.955991
0.43,1,12.966991
-0.1,1,12.977991
0.375,1,12.988003
0.255,1,12.997992
0.12,1,13.009992
-0.07,1,13.020005
-0.32,1,13.031004
-0.01,1,13.042007
-0.255,1,13.053146
-0.06,1,13.064262
0.315,1,13.075267
0.305,1,13.086267
0.1,1,13.096324
-0.345,1,13.108267
0.15,1,13.120267
-0.3,1,13.131267
0.12,1,13.142267
0.005,1,13.152293
0.33,1,13.165267
-0.575,1,13.178267
0.265,1,13.190268
-0.385,1,13.202267
-0.045,1,13.215266
0.39,1,13.226266
-0.115,1,13.237265
-0.215,1,13.248266
0.41,1,13.258281
0.115,1,13.270267
0.455,1,13.281266
0.27,1,13.293267
0.015,1,13.304265
0.045,1,13.315267
-0.285,1,13.325267
-0.12,1,13.337269
0.515,1,13.348266
0.02,1,13.358267
-0.225,1,13.370267
-0.225,1,13.382267
-0.02,1,13.393267
0.545,1,13.404267
-0.06,1,13.415269
-0.31,1,13.426267
0.045,1,13.438267
0.325,1,13.448267
0.39,1,13.460264
-0.155,1,13.471267
0.135,1,13.482268
-0.09,1,13.493267
-0.34,1,13.505269
0.18,1,13.516268
-0.205,1,13.527267
0.37,1,13.539268
0.12,1,13.552268
-0.47,1,13.563272
-0.37,1,13.575267
-0.045,1,13.588267
0.035,1,13.599269
0.34,1,13.609269
0.14,1,13.621266
-0.065,1,13.631267
0.385,1,13.64127
0.275,1,13.652268
-0.085,1,13.663266
0.105,1,13.674265
0.17,1,13.685427
-0.165,1,13.695265
0.05,1,13.707265
0.39,1,13.718267
0.075,1,13.729268
0.25,1,13.741267
-0.23,1,13.751267
0.47,1,13.762267
-0.09,1,13.773267
-0.175,1,13.784267
0.15,1,13.794264
0.49,1,13.805267
-0.205,1,13.816267
-0.195,1,13.827266
0.115,1,13.839268
-0.135,1,13.849267
0.205,1,13.860267
0.38,1,13.871267
0.27,1,13.882266
0.225,1,13.893267
0.32,1,13.903268
0.385,1,13.917265
-0.09,1,13.930265
0.27,1,13.942268
-0.21,1,13.952268
0.23,1,13.965271
0.335,1,13.97627
-0.065,1,13.989265
0.455,1,14.001266
0.075,1,14.012267
0.02,1,14.023267
0.395,1,14.034267
0.025,1,14.046265
-0.18,1,14.056267
0.255,1,14.065267
0.285,1,14.076267
-0.245,1,14.087267
-0.03,1,14.097266
-0.25,1,14.108267
-0.355,1,14.121267
-0.095,1,14.132267
0.155,1,14.14327
0.065,1,14.548872
0.545,1,14.560874
0.36,1,14.572874
0.685,1,14.584872
0.485,1,14.595874
0.585,1,14.607874
-0.405,1,14.619875
0.455,1,14.629874
-0.035,1,14.640874
0.15,1,14.652873
-0.14,1,14.662874
0.19,1,14.673874
